Ind. No.,C/R,Sex,Status,Error,Age-mat.,Age-total,Age-final,Habitat,Date,Month,Year,Time of day,Behaviour,BM,SH,SCL,MCW,MaxCW,MPL,MaxPL,AbSL,AnSL,ANW,BL_L,BL_R,Scars / Damages,Ticks,Notes ,,,,,,,,,,,,
28,C,F,Adult,NO,,10,,Meadow,24/05/2019,May,2019,10:00-10:30,,1335,91,184,132,136,,,,,,,,,,,,,,,,,,,,,,
28,R,F,Adult,NO,10,15,13,Meadow,24/06/2021,June,2021,08:24:09,Basking,1102,86,164,130,132,,,,,,,,,4,Circular shape between 5 vertebral and supracaudal.,,,,,,,,,,,,
29,C,F,Adult,NO,,10.-11.,,NA,24/05/2019,May,2019,10:00-10:30,,1317,94,179,134,139,,,,,,,,,,,,,,,,,,,,,,
30,C,F,Adult,NO,,15,,NA,24/05/2019,May,2019,10:30-11:00,,1650,101,197,148,150,,,,,,,,,,,,,,,,,,,,,,
31,C,F,Adult,NO,,11.-12.,,NA,24/05/2019,May,2019,10:30-11:00,,1246,95,185,133,135,,,,,,,,,,12 m L & R,,,,,,,,,,,,
32,C,F,Adult,NO,,11,12,Degraded forest,24/05/2019,May,2019,10:30-11:00,,1187,87,170,130,135,,,,,,,,,,,,,,,,,,,,,,
32,R,F,Adult,NO,13,16,14,Degraded forest,30/04/2021,April,2021,13:39:47,Resting in shade,1135,88,172,133,138,,,,,,,,,0,mistakenly marked on 9L marginal,,,,,,,,,,,,
33,C,F,Adult,NO,12,16,,NA,24/05/2019,May,2019,10:30-11:00,,1240,89,174,133,134,,,,,,,,,,,,,,,,,,,,,,
34,C,F,Adult,NO,,11.-12.,,NA,24/05/2019,May,2019,11:30-12:00,nesting,1229,92,176,137,136,,,,,,,,,,5 eggs; Photo,,,,,,,,,,,,
35,C,F,Adult,NO,,13,,NA,24/05/2019,May,2019,11:30-12:00,,1292,90,186,137,146,,,,,,,,,,,,,,,,,,,,,,
36,C,M,Adult,NO,,13.-14.,,NA,24/05/2019,May,2019,11:30-12:00,,817,81,156,121,123,,,,,,,,damaged carapace,,,,,,,,,,,,,,
37,C,F,Adult,NO,12,14,,NA,24/05/2019,May,2019,11:30-12:00,,1425,99,195,143,145,,,,,,,,,,,,,,,,,,,,,,
38,C,F,Adult,NO,,10,,NA,24/05/2019,May,2019,11:30-12:00,,623,72,136,109,107,,,,,,,,,,,,,,,,,,,,,,
39,C,F,Immature,NO,,9,, NA,24/05/2019,May,2019,11:30-12:00,,777,75,148,117,119,,,,,,,,,,,,,,,,,,,,,,
40,C,F,Adult,NO,,,,Degraded forest,24/05/2019,May,2019,11:30-12:00,,1334,90,180,144,145,,,,,,,,damaged carapace,,,,,,,,,,,,,,
40,R,F,Adult,NO,,"15-25, >25",,Degraded forest,29/04/2021,April,2021,13:51:10,Resting in shade,1317,90,180,145,146,,,,,,,,10 m L,,"2nd vertebral damaged, 8 R marginal right mistakenly marked",,,,,,,,,,,,
41,C,NA,Immature,NO,,5,,NA,24/05/2019,May,2019,11:30-12:00,,132,40,81,70,70,,,,,,,,,,10 m L & R,,,,,,,,,,,,
42,C,NA,Immature,NO,,3,, NA,24/05/2019,May,2019,11:30-12:00,,43,28,54,51,50,,,,,,,,,,,,,,,,,,,,,,
43,C,NA,Immature,NO,,6,,NA,24/05/2019,May,2019,11:30-12:00,,129,40,84,67,64,,,,,,,,,,IV v. scale small,,,,,,,,,,,,
44,C,F,Adult,NO,12,13,,Pine forest,24/05/2019,May,2019,12:00-12:30,,1367,95,182,138,139,,,,,,,,,,"6 v. scales, asymmetrical; doubled no.? Hermaphrodite?",,,,,,,,,,,,
44,R,M,Adult,NO,12,19,,Pine forest,12/05/2021,May,2021,15:45:19,Basking,881,88,161,135,140,,,,,,,,,0,doubled no.? Hermaphrodite?,,,,,,,,,,,,
45,C,M,Adult,NO,,10,,NA,24/05/2019,May,2019,12:00-12:30,,582,70,142,111,113,,,,,,,,damaged vertebrals,,,,,,,,,,,,,,
46,C,F,Adult,NO,,11,,NA,24/05/2019,May,2019,12:00-12:30,,1241,89,177,134,136,,,,,,,,,,,,,,,,,,,,,,
47,C,F,Adult,NO,,,,NA,24/05/2019,May,2019,12:00-12:30,,1969,108,201,157,161,,,,,,,,damaged right bridge,,,,,,,,,,,,,,
48,C,F,Adult,NO,,10,,Degraded forest,24/05/2019,May,2019,12:30-13:00,,825,80,148,115,119,,,,,,,,,,,,,,,,,,,,,,
48,R,F,Adult,NO,,15-25,,Degraded forest,10/06/2021,June,2021,11:26:00,Moving,1385,91,182,144,147,,,,,,,,,0,can not be found in database (maybe 49),,,,,,,,,,,,
48,R,F,Adult,NO,,15-25,,Degraded forest,21/06/2021,June,2021,18:59:17,Resting in shade,1430,91,183,143,146,,,,,,,,Carapace,7,Damaged carapace,,,,,,,,,,,,
49,C,F,Adult,NO,,14,,Degraded forest,24/05/2019,May,2019,12:30-13:00,,1669,97,193,150,154,,,,,,,,,,,,,,,,,,,,,,
49,R,F,Adult,NO,10,13,,Degraded forest,30/04/2021,April,2021,13:51:35,Resting in shade,1631,99,195,153,158,,,,,,,,,0,,,,,,,,,,,,,
50,C,F,Adult,NO,,13,,NA,24/05/2019,May,2019,12:30-13:00,,1144,90,175,131,134,,,,,,,,,,,,,,,,,,,,,,
51,C,M,Adult,NO,,10,,NA,24/05/2019,May,2019,12:30-13:00,,569,68,138,107,115,,,,,,,,,,,,,,,,,,,,,,
52,C,F,Adult,NO,,12,,Degraded forest,24/05/2019,May,2019,12:30-13:00,,1179,90,177,130,141,,,,,,,,,,,,,,,,,,,,,,
52,R,F,Adult,NO,13,14,,Degraded forest,10/06/2021,June,2021,09:54:22,Basking,1304,92,184,133,142,,,,,,,,,0,2 R marginal demaged ,,,,,,,,,,,,
53,C,F,Adult,NO,,,,Meadow,24/05/2019,May,2019,12:30-13:00,,1303,93,190,137,145,,,,,,,,,,,,,,,,,,,,,,
53,R,F,Adult,NO,,15-25,,Meadow,10/06/2021,June,2021,10:10:40,Resting in shade,1407,94,188,136,144,,,,,,,,,5,,,,,,,,,,,,,
54,C,M,Adult,NO,,,,NA,24/05/2019,May,2019,12:30-13:00,,998,82,172,133,139,,,,,,,,X m R broken,,,,,,,,,,,,,,
55,C,M,Adult,NO,,13,13,Degraded forest,24/05/2019,May,2019,12:30-13:00,,766,77,150,121,126,,,,,,,,,,,,,,,,,,,,,,
55,R,M,Adult,NO,10,13,15,Degraded forest,29/04/2021,April,2021,14:53:40,Resting in shade,712,80,153,123,128,,,,,,,,,0,,,,,,,,,,,,,
56,C,F,Adult,NO,,12,,NA,24/05/2019,May,2019,12:30-13:00,,1147,92,171,125,127,,,,,,,,,,,,,,,,,,,,,,
57,C,F,Adult,NO,,10,,NA,24/05/2019,May,2019,12:30-13:00,,775,79,146,114,116,,,,,,,,,,,,,,,,,,,,,,
58,C,M,Adult,NO,,11,,NA,24/05/2019,May,2019,13:00-13:30,,735,76,139,118,116,,,,,,,,broken nuhale & I m R,,,,,,,,,,,,,,
59,C,M,Adult,NO,,17.-18.,,NA,24/05/2019,May,2019,13:30-14:00,,818,79,152,128,128,,,,,,,,,,,,,,,,,,,,,,
60,C,F,Adult,NO,14,17,,NA,24/05/2019,May,2019,13:30-14:00,,1545,95,191,145,150,,,,,,,,,,,,,,,,,,,,,,
62,C,M,Adult,NO,,,,NA,13/06/2019,June,2019,07:30-08:00,,1208,93,178,137,147,,,,,,,,,,IV & V m R almost merged,,,,,,,,,,,,
63,C,F,Adult,NO,13,16,,Opening+Pine forest,13/06/2019,June,2019,07:30-08:00,,1340,94,179,137,144,,,,,,,,,,,,,,,,,,,,,,
63,R,F,Adult,NO,12,16,,Opening+Pine forest,30/04/2021,April,2021,15:20:02,Mating,1316,91,181,139,145,,,,,,,,,0,1st vertebral star like,,,,,,,,,,,,
64,C,M,Adult,NO,13,16,,NA,13/06/2019,June,2019,07:30-08:00,,1007,86,161,133,132,,,,,,,,IX & X m L&R broken & I m R,,,,,,,,,,,,,,
65,C,F,Adult,NO,,,,Pine forest,13/06/2019,June,2019,07:30-08:00,,1490,98,184,143,144,,,,,,,,,,,,,,,,,,,,,,
65,R,F,Adult,NO,,15-25,,Pine forest,12/05/2021,May,2021,15:52:44,Basking,1500,100,186,143,144,,,,,,,,,0,,,,,,,,,,,,,
66,C,M,Adult,NO,,,,NA,13/06/2019,June,2019,08:00-08:30,,1252,97,180,141,151,,,,,,,,,,,,,,,,,,,,,,
67,C,F,Adult,NO,,,,Degraded forest,13/06/2019,June,2019,08:30-09:00,,1430,96,181,142,144,,,,,,,,,,vertebrals asymmetrical,,,,,,,,,,,,
67,R,F,Adult,NO,12,18,,Degraded forest,11/05/2021,May,2021,11:56:36,Moving,1381,97,182,144,142,,,,,,,,Supracaudal,17,"7 vertebral, 3-6 asymmetric. Nuchal not visible from above. Supracaudal damaged.",,,,,,,,,,,,
68,C,F,Immature,NO,,,,NA,13/06/2019,June,2019,08:30-09:00,,905,81,152,118,125,,,,,,,,,,,,,,,,,,,,,,
69,C,F,Adult,NO,13,14,,Degraded forest+Pine forest,13/06/2019,June,2019,09:00-09:30,,1357,91,178,136,137,,,,,,,,,,,,,,,,,,,,,,
69,R,F,Adult,NO,13,15,16,Degraded forest+Pine forest,11/05/2021,May,2021,17:14:50,Resting in shade,1308,92,181,136,139,,,,,,,,,,8R marginal narrow. 1 L&R marginal & nuchal look like triangles.,,,,,,,,,,,,
70,C,M,Immature,NO,,8.-9.,,NA,13/06/2019,June,2019,09:00-09:30,,646,74,137,111,119,,,,,,,,,,,,,,,,,,,,,,
71,C,M,Immature,NO,,7,,Pine forest,13/06/2019,June,2019,09:00-09:30,,415,64,118,97,101,,,,,,,,,,,,,,,,,,,,,,
71,R,M,Immature,NO,,"8, 9",,Pine forest,09/05/2021,May,2021,16:04:17,Moving,593,73,140,112,120,,,,,,,,,0,,,,,,,,,,,,,
72,C,M,Immature,NO,,8.-9.,,Pine forest,13/06/2019,June,2019,09:00-09:30,,372,60,113,94,97,,,,,,,,,,,,,,,,,,,,,,
72,R,M,Adult,NO,,10,,Pine forest,09/05/2021,May,2021,16:13:14,Moving,495,70,131,106,112,,,,,,,,,0,,,,,,,,,,,,,
73,C,M,Adult,NO,,,,Pine forest,13/06/2019,June,2019,09:00-09:30,,1411,98,188,143,155,,,,,,,,,1,,,,,,,,,,,,,
73,R,M,Adult,NO,,15-25,,Pine forest,09/05/2021,May,2021,15:54:15,Moving,1348,95,190,145,156,,,,,,,,,0,yellowish shell,,,,,,,,,,,,
74,C,F,Adult,NO,,,,NA,13/06/2019,June,2019,09:30-10:00,,1552,103,197,146,147,,,,,,,,,,5 c R,,,,,,,,,,,,
75,C,M,Adult,NO,,11,,NA,13/06/2019,June,2019,09:30-10:00,,840,82,154,123,127,,,,,,,,,,,,,,,,,,,,,,
76,C,F,Adult,NO,,,,Degraded forest,13/06/2019,June,2019,09:30-10:00,,1662,96,197,152,155,,,,,,,,damaged carapace,,,,,,,,,,,,,,
76,R,F,Adult,NO,,15-25,,Degraded forest,09/05/2021,May,2021,12:13:21,Moving,1509,93,194,152,155,,,,,,,,,0,,,,,,,,,,,,,
77,C,F,Adult,NO,,10,,Degraded forest,13/06/2019,June,2019,09:30-10:00,,1573,94,173,131,138,,,,,,,,damaged carapace,,,,,,,,,,,,,,
77,R,F,Adult,NO,,15-25,,Degraded forest,22/06/2021,June,2021,12:25:53,Basking,1613,96,191,149,150,,,,,,,,"Supracaudal, Carapace",17,,,,,,,,,,,,,
78,C,F,Adult,NO,,,,NA,13/06/2019,June,2019,09:30-10:00,,1306,96,189,147,150,,,,,,,,supracaudal damaged,,,,,,,,,,,,,,
79,C,M,Adult,NO,13,15,,NA,13/06/2019,June,2019,10:00-10:30,,974,82,158,124,131,,,,,,,,"marginals damaged, 9&10 m R broken",,,,,,,,,,,,,,
80,C,NA,Immature,NO,,8,,NA,13/06/2019,June,2019,10:00-10:30,,224,52,92,80,80,,,,,,,,,,,,,,,,,,,,,,
81,C,F,Adult,NO,11,14,15,Pine forest,13/06/2019,June,2019,10:00-10:30,,1501,99,197,140,147,,,,,,,,,,,,,,,,,,,,,,
81,R,F,Adult,NO,11,18,17,Pine forest,12/05/2021,May,2021,15:36:40,Resting in shade,1369,98,200,140,147,,,,,,,,,3,Age count was incorrect 2 yrs ago,,,,,,,,,,,,
81,R,F,Adult,NO,11,17,17,Road,23/06/2021,June,2021,10:16:49,Moving,1417,98,200,141,148,,,,,,,,,0,additional vertebral between first and second - 6 vertebrals,,,,,,,,,,,,
82,C,F,Adult,NO,12,13,12,Degraded forest,13/06/2019,June,2019,10:00-10:30,,1835,106,203,151,155,,,,,,,,,1,,,,,,,,,,,,,
82,R,F,Adult,NO,10,12,12,Degraded forest,08/08/2019,August,2019,09:06,,1820,102,200,153,153,,,,,,,,,,,,,,,,,,,,,,
83,C,M,Adult,NO,,11,,NA,13/06/2019,June,2019,10:00-10:30,,811,82,149,NA,125,,,,,,,,,,,,,,,,,,,,,,
84,C,M,Adult,NO,,15,,NA,13/06/2019,June,2019,10:30-11:00,,1002,84,170,138,142,,,,,,,,,,,,,,,,,,,,,,
85,C,F,Adult,NO,,12,,NA,13/06/2019,June,2019,10:30-11:00,,1757,99,204,145,147,,,,,,,,,2,,,,,,,,,,,,,
86,C,F,Adult,NO,,19,,Degraded forest,13/06/2019,June,2019,11:30-12:00,,1830,105,207,151,154,,,,,,,,,,1&2 m R almost merged,,,,,,,,,,,,
86,R,F,Adult,NO,,15-25,,Degraded forest,22/06/2021,June,2021,09:38:58,Moving,1789,104,211,154,155,,,,,,,,,6,smooth shell,,,,,,,,,,,,
87,C,F,Adult,NO,,13,,NA,13/06/2019,June,2019,12:00-12:30,,1576,103,190,146,152,,,,,,,,,,,,,,,,,,,,,,
88,C,F,Adult,NO,12,15,,Degraded forest,06/07/2019,June,2019,08:30-09:00,,956,84,160,121,124,,,,,,,,,,,,,,,,,,,,,,
88,R,F,Adult,NO,10,10,,Degraded forest,08/08/2019,August,2019,09:24,,912,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
88,R,F,Adult,NO,,12,,Degraded forest,09/05/2021,May,2021,13:54:52,Resting in shade,943,84,162,122,126,,,,,,,,,0,,,,,,,,,,,,,
89,C,M,Adult,NO,,19,,NA,06/07/2019,June,2019,08:30-09:00,,882,84,159,125,133,,,,,,,,,,,,,,,,,,,,,,
90,C,M,Adult,NO,,16,,Degraded forest,06/07/2019,June,2019,09:00-09:30,,768,73,151,118,124,,,,,,,,,,,,,,,,,,,,,,
90,R,M,Adult,NO,,15-25,,Degraded forest,11/05/2021,May,2021,11:45:41,Moving,944,87,161,133,142,,,,,,,,Marginals,16,"20 yo, 2 yrs ago incorrectly 16 yo. 9, 10, 11 L marginal damaged.",,,,,,,,,,,,
90,R,M,Adult,NO,,15-25,,Degraded forest,17/05/2021,May,2021,15:14:27,Resting in shade,888,87,161,133,142,,,,,,,,,7,,,,,,,,,,,,,
91,C,M,Adult,NO,,11,,Degraded forest+Pine forest,06/07/2019,June,2019,09:30-10:00,,1128,87,174,142,149,,,,,,,,,,,,,,,,,,,,,,
