Ind. No.,C/R,Sex,Status,Error,Age-mat.,Age-total,Age-final,Habitat,Date,Month,Year,Time of day,Behaviour,BM,SH,SCL,MCW,MaxCW,MPL,MaxPL,AbSL,AnSL,ANW,BL_L,BL_R,Scars / Damages,Ticks,Notes ,,,,,,,,,,,,
114,C,M,Adult,NO,11,12,,Degraded forest,07/07/2020,July,2020,10:38,Resting in shade,483,NA,NA,NA,NA,,,,,,,,"Marginals, Carapace, Plastron",0,,,,,,,,,,,,,
115,C,M,Adult,NO,14,17,,Degraded forest,07/07/2020,July,2020,10:39,Resting in shade,366,NA,NA,NA,NA,,,,,,,,,0,,,,,,,,,,,,,
116,C,M,Adult,NO,11,13,12,Meadow,07/08/2020,July,2020,09:36,Resting in shade,1125,88,167,133,143,,,,,,,,,0,,,,,,,,,,,,,
116,R,M,Adult,NO,11,13,13,Opening+Pine forest,30/04/2021,April,2021,16:22:25,Resting in shade,1148,88,169,134,144,,,,,,,,Hind leg(s) ,0,missing claws on left hind legs,,,,,,,,,,,,
116,R,M,Adult,NO,11,13,13,Degraded forest,03/06/2021,June,2021,14:20:24,Moving,1188,89,170,134,145,,,,,,,,,7,,,,,,,,,,,,,
116,R,M,Adult,NO,12,13,13,Degraded forest+Pine forest,21/06/2021,June,2021,10:35:41,Basking,1198,90,171,135,145,,,,,,,,,,error marcation between 10th and 11th left marginal,,,,,,,,,,,,
117,C,F,Adult,NO,,15-25,15-25,Degraded forest,07/08/2020,July,2020,09:48,Resting in shade,1697,97,208,154,155,,,,,,,,,0,,,,,,,,,,,,,
117,R,F,Adult,NO,,15-25,15-25,Degraded forest,29/05/2021,May,2021,12:13:28,Moving,1762,94,209,153.5,155,,,,,,,,,0,4 vertebral unusual shape. Smooth shell.,,,,,,,,,,,,
118,C,M,Adult,NO,12,15,,Degraded forest,07/08/2020,July,2020,09:48,Resting in shade,1075,86,170,132,144,,,,,,,,,0,,,,,,,,,,,,,
119,C,M,Immature,NO,,9,,Degraded forest,07/08/2020,July,2020,10:17,Resting in shade,475,63,125,100,108,,,,,,,,,0,,,,,,,,,,,,,
120,C,F,Adult,NO,10,11,,Degraded forest,07/08/2020,July,2020,10:44,Resting in shade,1313,94,180,137,141,,,,,,,,,0,,,,,,,,,,,,,
121,C,F,Adult,NO,,15-25,,Degraded forest,07/08/2020,July,2020,10:53,Resting in shade,1839,107,199,155,156,,,,,,,,,0,,,,,,,,,,,,,
121,R,F,Adult,NO,,15-25,,Degraded forest,20/08/2020,August,2020,11:16,Resting in shade,1782,108,198,155,156,,,,,,,,,0,,,,,,,,,,,,,
122,C,M,Immature,NO,,"9, 10",,Degraded forest,07/08/2020,July,2020,10:41,Resting in shade,538,69,131,107,111,,,,,,,,"Vertebrals, Extra scale",0,,,,,,,,,,,,,
123,C,M,Adult,NO,11,14,,Degraded forest,07/08/2020,July,2020,10:48,Resting in shade,840,77,155,126,127,,,,,,,,"Left, Marginals, Broken markation I",0,,,,,,,,,,,,,
123,R,M,Adult,NO,11,15-25,,Degraded forest,20/08/2020,August,2020,11:35,Mating,779,78,154,125,131,,,,,,,,I m L,0,,,,,,,,,,,,,
124,C,F,Immature,NO,,7,7,Degraded forest,07/08/2020,July,2020,11:33,Resting in shade,618,71,135,103,107,,,,,,,,,0,,,,,,,,,,,,,
124,R,F,Immature,NO,,9,8,Meadow,21/06/2021,June,2021,10:19:40,Resting in shade,771,77,147,110,114,,,,,,,,,2,,,,,,,,,,,,,
125,C,M,Adult,NO,,15-25,,Degraded forest,07/08/2020,July,2020,11:40,Resting in shade,1430,95,186,150,157,,,,,,,,,0,,,,,,,,,,,,,
126,C,M,Adult,YES,,10,10,Degraded forest,07/08/2020,July,2020,12:00,Resting in shade,816,81,148,112,113,,,,,,,,"IX m L, Carapace",0,hermaphrodite?,,,,,,,,,,,,
126,R,F,Adult,YES,,10,11,Degraded forest,21/06/2021,June,2021,12:36:40,Basking,888,87,155,122,122,,,,,,,,"Supracaudal, Carapace",2,hermaphrodite?,,,,,,,,,,,,
127,C,M,Adult,NO,14,17,,Meadow,20/08/2020,August,2020,09:26,Feeding,867,80,161,124,135,,,,,,,,,0,,,,,,,,,,,,,
128,C,M,Adult,NO,10,13,13,Degraded forest,20/08/2020,August,2020,09:36,Moving,1132,87,174,133,145,,,,,,,,,0,,,,,,,,,,,,,
128,R,M,Adult,NO,12,14,14,Degraded forest,29/05/2021,May,2021,10:41:07,Moving,1234,88,176,135,148,,,,,,,,,0,Age count was wrong when captured.,,,,,,,,,,,,
129,C,NA,Immature,NO,,8,,Road,20/08/2020,August,2020,09:50,Feeding,342,57,111,89,92,96,104,34,13,28,50,50,III v broken,0,,,,,,,,,,,,,
130,C,M,Adult,NO,14,17,,Degraded forest+Pine forest,20/08/2020,August,2020,10:26,Basking,818,80,156,131,138,,,,,,,,,0,,,,,,,,,,,,,
131,C,F,Adult,NO,,15-25,,Degraded forest+Pine forest,20/08/2020,August,2020,10:33,Resting in shade,1387,91,188,144,147,,,,,,,,Damaged carapace,0,,,,,,,,,,,,,
132,C,M,Adult,NO,,15-25,15-25,Degraded forest,20/08/2020,August,2020,11:22,Burrowed,1040,80,165,130,135,,,,,,,,I m R,0,,,,,,,,,,,,,
132,R,M,Adult,NO,,15-25,15-25,Degraded forest,24/09/2021,September,2021,15:12:51,Moving,952,80,167,130,136,,,,,,,,,17,"1st R marginal broken, additional scale on front right leg",,,,,,,,,,,,
133,C,F,Adult,NO,11,15-25,,Degraded forest,20/08/2020,August,2020,11:41,Mating,1673,101,195,150,151,,,,,,,,,0,First vertebral is star-like,,,,,,,,,,,,
134,C,F,Adult,NO,10,10,,Degraded forest,20/08/2020,August,2020,11:54,Resting in shade,744,79,141,114,117,,,,,,,,,0,,,,,,,,,,,,,
135,C,M,Adult,NO,11,12,,Degraded forest,29/04/2021,April,2021,13:00:05,Basking,708.6,80,152,121,124,,,,,,,,"Costals, Vertebrals",0,vertebral and coastal scutes damaged,,,,,,,,,,,,
136,C,NA,Immature,NO,,6,,Degraded forest,29/04/2021,April,2021,13:17:56,Moving,103,41,75,65,63,,,,,,,,,0,,,,,,,,,,,,,
137,C,F,Immature,NO,,9,,Degraded forest,29/04/2021,April,2021,13:29:12,Moving,250,55,103,82,83,,,,,,,,,0,,,,,,,,,,,,,
138,C,M,Adult,NO,12,13,,Degraded forest,29/04/2021,April,2021,14:24:26,Moving,945,87,168,130,140,,,,,,,,,0,first vertebral starlike,,,,,,,,,,,,
139,C,M,Adult,NO,11,13,,Degraded forest,29/04/2021,April,2021,14:45:01,Moving,748,78,158,119,132,,,,,,,,,0,,,,,,,,,,,,,
140,C,M,Adult,NO,11,15,15,Degraded forest,29/04/2021,April,2021,15:36:16,Resting in shade,869,83,159,128,136,,,,,,,,,0,,,,,,,,,,,,,
140,R,M,Adult,NO,11,15,15,Degraded forest+Pine forest,25/05/2021,May,2021,19:25:44,Moving,917,84,159,128,136,,,,,,,,,,,,,,,,,,,,,,
141,C,F,Adult,NO,,11,,Degraded forest,29/04/2021,April,2021,15:55:53,Resting in shade,752,77,148,114,122,,,,,,,,Right bridge,0,,,,,,,,,,,,,
142,C,F,Adult,NO,,10,,Degraded forest,29/04/2021,April,2021,16:58:42,Moving,865,80,155,118,120,,,,,,,,,0,9L marginal broken,,,,,,,,,,,,
143,C,M,Adult,NO,12,14,,Road,30/04/2021,April,2021,11:42:14,Moving,929,81,166,132,138,,,,,,,,,1,4 and 5 vertebral asymmetrical,,,,,,,,,,,,
145,C,M,Adult,NO,13,16,,Degraded forest,30/04/2021,April,2021,13:22:33,Courting,792,79,162,128,136,,,,,,,,,0,9R marginal damaged,,,,,,,,,,,,
146,C,M,Adult,NO,12,14,,Degraded forest,30/04/2021,April,2021,13:26:42,Resting in shade,773,79,154,122,131,,,,,,,,Supracaudal,0,,,,,,,,,,,,,
147,C,F,Adult,NO,,>25,>25,Degraded forest,30/04/2021,April,2021,13:31:18,Resting in shade,1985,102,210,163,170,,,,,,,,,0,"resting with another female, smooth shell",,,,,,,,,,,,
147,R,F,Adult,NO,,>25,>25,Degraded forest,24/09/2021,September,2021,17:07:43,Moving,2015,102,210,163,170,,,,,,,,,0,"male like, smooth shell",,,,,,,,,,,,
148,C,F,Adult,NO,12,14,,Degraded forest,30/04/2021,April,2021,13:35:15,Resting in shade,1741,103,200,153,158,,,,,,,,,0,resting with another female,,,,,,,,,,,,
149,C,M,Adult,NO,11,15-25,,Degraded forest,30/04/2021,April,2021,13:48:06,Resting in shade,947,83,170,133,138,,,,,,,,,0,7L marginal narrow,,,,,,,,,,,,
150,C,F,Adult,NO,,10,,Degraded forest,30/04/2021,April,2021,13:55:32,Resting in shade,541,71,134,104,108,,,,,,,,,0,,,,,,,,,,,,,
151,C,M,Adult,NO,9,10,,Degraded forest,30/04/2021,April,2021,14:03:29,Resting in shade,782,80,161,123,129,,,,,,,,,0,,,,,,,,,,,,,
152,C,F,Immature,NO,,9,,Degraded forest,30/04/2021,April,2021,14:06:03,Moving,629,72,141,111,114,,,,,,,,,0,first vertebral starlike,,,,,,,,,,,,
153,C,M,Adult,NO,10,17,,Degraded forest,30/04/2021,April,2021,15:52:11,Moving,1044,84,171,132,147,,,,,,,,,0,First vertebral starlike,,,,,,,,,,,,
154,C,M,Adult,NO,12,17,,Opening+Pine forest,30/04/2021,April,2021,15:31:47,Mating,1102,85,177,138,143,,,,,,,,Marginals,0,,,,,,,,,,,,,
155,C,M,Immature,NO,,9,,Road+Degraded forest,30/04/2021,April,2021,16:03:02,Feeding,547,73,130,102,106,,,,,,,,,8,,,,,,,,,,,,,
156,C,F,Adult,NO,,10,,Degraded forest,30/04/2021,April,2021,16:13:03,Feeding,795,79,148,117,116,,,,,,,,,2,First vertebral starlike,,,,,,,,,,,,
157,C,M,Adult,NO,,11,,Road,30/04/2021,April,2021,16:46:36,Feeding,548,69,133,106,113,,,,,,,,,2,,,,,,,,,,,,,
158,C,M,Adult,NO,,11,,Opening+Pine forest,30/04/2021,April,2021,16:51:53,Moving,725,79,148,115,119,,,,,,,,,20,4 coastal R together with 5th vertebral,,,,,,,,,,,,
159,C,F,Adult,NO,13,16,,Degraded forest,30/04/2021,April,2021,17:17:09,Mating,1250,92,181,136,140,,,,,,,,,0,,,,,,,,,,,,,
160,C,M,Adult,NO,10,15-25,,Degraded forest,30/04/2021,April,2021,17:21:51,Mating,889,82,163,133,136,,,,,,,,,0,9 and 10 L marginal demaged,,,,,,,,,,,,
162,C,F,Adult,NO,,11,,Opening,01/05/2021,May,2021,12:47:11,Resting in shade,1256,95,181,135,139,,,,,,,,,0,,,,,,,,,,,,,
163,C,F,Adult,NO,,15-25,,Degraded forest,01/05/2021,May,2021,13:22:38,Resting in shade,1377,88,191,142,142,,,,,,,,"Carapace, Burnt",0,,,,,,,,,,,,,
164,C,M,Adult,NO,0,12,,Degraded forest,01/05/2021,May,2021,13:40:32,Resting in shade,1145,90,174,137,145,,,,,,,,,4,Small ticks,,,,,,,,,,,,
165,C,M,Adult,NO,,15-25,,Degraded forest,01/05/2021,May,2021,13:45:23,Resting in shade,959,84,164,135,140,,,,,,,,"Right, Marginals, Scale missing, 1, 2",0,,,,,,,,,,,,,
166,C,NA,Immature,NO,,1,,Meadow,01/05/2021,May,2021,13:48:05,Resting in shade,16.4,21,39,36,36,37,37,14,2,4,20.5,19.5,,0,,,,,,,,,,,,,
167,C,F,Adult,NO,,15-25,,Meadow,01/05/2021,May,2021,13:52:45,Resting in shade,1508,97,198,144,146,,,,,,,,,0,Yellow shell,,,,,,,,,,,,
168,C,F,Adult,NO,,15-25,,Degraded forest,01/05/2021,May,2021,14:11:56,Resting in shade,1314,88,182.5,134,140,,,,,,,,10 m L,0,,,,,,,,,,,,,
169,C,F,Adult,NO,,11,,Degraded forest,01/05/2021,May,2021,14:23:55,Resting in shade,927,89,162,123,129,,,,,,,,,0,,,,,,,,,,,,,
170,C,F,Adult,NO,13,15-25,15-25,Meadow,01/05/2021,May,2021,14:53:22,Feeding,1464,94,189,143,144,,,,,,,,,0,first vertebral starlike,,,,,,,,,,,,
170,R,F,Adult,NO,,15-25,15-25,Degraded forest,03/06/2021,June,2021,12:05:46,Moving,1433,93,188,143,145,,,,,,,,,0,yellowish shell ,,,,,,,,,,,,
171,C,F,Adult,NO,11,13,,Meadow+Degraded forest,01/05/2021,May,2021,14:57:27,Resting in shade,1285,92,184,133,133,,,,,,,,Supracaudal,0,,,,,,,,,,,,,
172,C,F,Adult,NO,,15-25,,Meadow+Degraded forest,01/05/2021,May,2021,15:03:15,Resting in shade,1698,98,197,151,152,,,,,,,,,0,,,,,,,,,,,,,
172,C,F,Adult,NO,,15-25,,Meadow,09/06/2021,June,2021,09:04:53,Basking,1795,99,198,151,152,,,,,,,,,0,,,,,,,,,,,,,
173,C,F,Adult,NO,11,17,,Meadow,01/05/2021,May,2021,15:57:37,Feeding,1384,90,182,145,139,,,,,,,,,1,one large tick,,,,,,,,,,,,
174,C,M,Adult,NO,11,13,,Meadow,01/05/2021,May,2021,16:03:45,Resting in shade,966,83,166,130,142,,,,,,,,Carapace,0,,,,,,,,,,,,,
175,C,M,Adult,NO,12,15,,Degraded forest,01/05/2021,May,2021,16:18:16,Moving,897,87,166,127,135,,,,,,,,,0,2nd 3th 4th 5th vertebral asymmetrical,,,,,,,,,,,,
176,C,F,Adult,NO,10,17,,Degraded forest,01/05/2021,May,2021,16:27:48,Resting in shade,1872,104,200,155,157,,,,,,,,,0,,,,,,,,,,,,,
177,C,F,Adult,NO,1,15-25,,Degraded forest,01/05/2021,May,2021,16:34:27,Resting in shade,1526,94,194,144,155,,,,,,,,,0,smooth shell,,,,,,,,,,,,
178,C,NA,Immature,NO,,2,,Meadow,01/05/2021,May,2021,16:50:01,Resting in shade,36.7,27,54,46,47,49,50,19,5,8,29,29,,0,6th L/R marginal maybe split on two as it grows,,,,,,,,,,,,
179,C,NA,Immature,NO,,1,,Meadow,01/05/2021,May,2021,17:13:01,Moving,30,26,48,47,46,46,46,18,4,7,27,27,,0,,,,,,,,,,,,,
180,C,F,Adult,NO,12,16,,Degraded forest,06/05/2021,May,2021,14:40:41,Resting in shade,1484,97,191,143,143,,,,,,,,,0,,,,,,,,,,,,,
181,C,M,Adult,NO,12,18,,Meadow,06/05/2021,May,2021,16:53:36,Moving,1237,91,180,138,145,,,,,,,,,1,Missing nuchal,,,,,,,,,,,,
182,C,M,Adult,NO,12,13,,Meadow,06/05/2021,May,2021,17:05:55,Moving,767,78,154,122,129,,,,,,,,,0,vertebrals asymmetrical,,,,,,,,,,,,
183,C,F,Adult,NO,9,14,,Degraded forest,06/05/2021,May,2021,18:29:57,Burrowed,1445,97,185,144,145,,,,,,,,,0,,,,,,,,,,,,,
184,C,F,Adult,NO,,12,,Degraded forest,06/05/2021,May,2021,19:13:22,Feeding,1153,92,187,133,137,,,,,,,,,0,"nuchal leaning to left, end of supracaudal looks like M",,,,,,,,,,,,
185,C,F,Adult,NO,,15-25,15-25,Degraded forest,06/05/2021,May,2021,19:36:40,Moving,1541,96,191,146,149,,,,,,,,,0,,,,,,,,,,,,,
185,R,F,Adult,NO,,15-25,15-25,Degraded forest,03/06/2021,June,2021,12:14:50,Resting in shade,1547,96,191,146,148,,,,,,,,,0,,,,,,,,,,,,,
186,C,F,Adult,NO,,12,,Degraded forest,07/05/2021,May,2021,12:22:35,Basking,1512,96,200,141,146,,,,,,,,,0,,,,,,,,,,,,,
187,C,M,Adult,NO,11,14,,Degraded forest,07/05/2021,May,2021,12:31:24,Basking,1039,84,164,136,142,,,,,,,,,0,1st vertebral star-like,,,,,,,,,,,,
188,C,M,Adult,NO,,15-25,15-25,Degraded forest,07/05/2021,May,2021,13:10:16,Feeding,1158,89,176,145,154,,,,,,,,,0,9L marginal damage,,,,,,,,,,,,
188,R,M,Adult,NO,,15-25,15-25,Degraded forest,23/06/2021,June,2021,11:45:32,Moving,1202,89,178,143,153,,,,,,,,,30,9L marginal damaged.,,,,,,,,,,,,
189,C,M,Adult,NO,,10.-15.,,Degraded forest,07/05/2021,May,2021,13:16:30,Resting in shade,895,85,160,128,132,,,,,,,,Marginals,0,2R marginal damaged,,,,,,,,,,,,
190,C,M,Adult,NO,12,17,17,Degraded forest,07/05/2021,May,2021,13:22:30,Moving,1012,83,164,129,133,,,,,,,,,0,spurt/growth between 3rd & 4th vertebral and 3rd costal,,,,,,,,,,,,
190,R,M,Adult,NO,12,17,17,Degraded forest,07/09/2021,September,2021,10:54:49,Basking,990,84,164,130,133,,,,,,,,,5,spurt,,,,,,,,,,,,
191,C,M,Adult,NO,,10,,Road,07/05/2021,May,2021,13:28:43,Resting in shade,934,84,168,131,135,,,,,,,,,0,,,,,,,,,,,,,
192,C,F,Immature,NO,,7,,Opening,07/05/2021,May,2021,13:33:49,Resting in shade,281,56,104,84,86,,,,,,,,,0,line/cut along the middle of last vertebral,,,,,,,,,,,,
193,C,F,Immature,NO,,6,,Opening,07/05/2021,May,2021,13:43:52,Resting in shade,241,53,101,83,83,89,93,34,11,23,48,48,,0,3R marginal triangular,,,,,,,,,,,,
194,C,M,Adult,NO,,10,,Road,07/05/2021,May,2021,13:48:52,Resting in shade,721,78,155,116,120,,,,,,,,,0,8L marginal narrow,,,,,,,,,,,,
195,C,F,Adult,NO,11,15,15,Degraded forest,07/05/2021,May,2021,14:07:29,Moving,1395,97,189,140,145,,,,,,,,,0,,,,,,,,,,,,,
195,R,F,Adult,NO,,16,15,Degraded forest,29/05/2021,May,2021,14:07:14,Moving,1555,97,189,140,144,,,,,,,,,0,Yellow shell,,,,,,,,,,,,
196,C,M,Adult,NO,,12,,Degraded forest,07/05/2021,May,2021,14:14:41,Moving,937,89,162,130,139,,,,,,,,,0,courting and mating w 195,,,,,,,,,,,,
197,C,F,Adult,NO,9,12,,Road,07/05/2021,May,2021,14:19:03,Resting in shade,1502,94,190,145,152,,,,,,,,,0,,,,,,,,,,,,,
198,C,M,Immature,NO,,8,,Degraded forest,07/05/2021,May,2021,14:31:02,Resting in shade,752,80,152,119,124,,,,,,,,,0,,,,,,,,,,,,,
199,C,M,Adult,NO,12,18,18,Road,07/05/2021,May,2021,14:34:12,Moving,1080,90,172,137,143,,,,,,,,,0,"2L&R marginal narrow, 7L marginal very narrow",,,,,,,,,,,,
199,R,M,Adult,NO,13,18,18,Meadow,23/06/2021,June,2021,07:37:24,Basking,1208,91,171,138,146,,,,,,,,,20,"2 L&R narrow marginals, 7 L very narrow marginal",,,,,,,,,,,,
200,C,M,Adult,NO,12,16,,Degraded forest,23/06/2021,June,2021,11:36:44,Mating,1129,86,166,127,138,,,,,,,,,9,Mating w F 108,,,,,,,,,,,,
201,C,F,Adult,NO,,15-25,,Opening,07/05/2021,May,2021,15:51:22,Burrowed,1907,102,215,155,161,,,,,,,,Hole,0,2&3L costal,,,,,,,,,,,,
202,C,F,Adult,NO,12,14,,Degraded forest,08/05/2021,May,2021,11:03:53,Moving,1440,94,187,141,142,,,,,,,,,0,all yellow,,,,,,,,,,,,
203,C,M,Adult,NO,,15-25,,Degraded forest,08/05/2021,May,2021,11:24:25,Resting in shade,1005,81,177,129,137,,,,,,,,Carapace,0,,,,,,,,,,,,,
204,C,F,Adult,NO,11,"14, 15",,Degraded forest,08/05/2021,May,2021,11:40:07,Resting in shade,1654,102,196,147,152,,,,,,,,,1,1 big tick. 1st vertebral starlike,,,,,,,,,,,,
205,C,M,Immature,NO,,7,,Pine forest,08/05/2021,May,2021,14:02:27,Moving,314,58,113,86,88,99,101,35,13,30,51,52,,0,,,,,,,,,,,,,
206,C,M,Adult,NO,10,19,,Pine forest,08/05/2021,May,2021,14:14:12,Resting in shade,1116,92,176,142,150,,,,,,,,,0,,,,,,,,,,,,,
207,C,M,Adult,NO,13,16,,Opening,08/05/2021,May,2021,14:22:46,Feeding,891,87,156,125,133,,,,,,,,,0,,,,,,,,,,,,,
208,C,F,Adult,NO,10,11,,Pine forest,08/05/2021,May,2021,14:39:28,Moving,1240,90,175,138,135,,,,,,,,,0,3R marginal small & triangular.,,,,,,,,,,,,
209,C,F,Immature,NO,,10,,Degraded forest,08/05/2021,May,2021,20:22:07,Moving,453,63,121,99,85,,,,,,,,,0,"missing back leg, missing L marginals from 8 to 11, vertebral 5 shell fused with the anal plastron from the left side, missing supracaudal ",,,,,,,,,,,,
210,C,F,Adult,NO,11,14,,Degraded forest,09/05/2021,May,2021,12:01:41,Moving,1730,101,196,148,148,,,,,,,,,0,first vertebral star like,,,,,,,,,,,,
211,C,M,Immature,NO,,7,,Degraded forest,09/05/2021,May,2021,12:22:12,Moving,389,65,115,97,98,100,106,35,15,31,52,52,,0,,,,,,,,,,,,,
212,C,F,Immature,NO,,9,,Degraded forest,09/05/2021,May,2021,13:15:33,Resting in shade,409,64,117,94,97,104,111,39,16,25,55,55,,0,2 and 3 R marginals missing piece,,,,,,,,,,,,
213,C,F,Immature,NO,,7,,Degraded forest,09/05/2021,May,2021,13:27:29,Basking,239,55,99,81,80,84,90,30,11,,46,46,,0,,,,,,,,,,,,,
214,C,M,Adult,NO,,10,,Meadow,09/05/2021,May,2021,13:34:43,Basking,639,74,143,111,114,,,,,,,,,0,,,,,,,,,,,,,
215,C,M,Adult,NO,,15-25,,Degraded forest,09/05/2021,May,2021,13:42:19,Burrowed,1160,91,180,139,155,,,,,,,,,10,first L/R marginals smaller ,,,,,,,,,,,,
216,C,F,Adult,NO,11,15,,Degraded forest,09/05/2021,May,2021,13:51:16,Moving,1223,88,177,138,141,,,,,,,,,0,,,,,,,,,,,,,
217,C,F,Adult,NO,,15-25,,Meadow,09/05/2021,May,2021,14:55:25,Basking,1989,108,216,156,160,,,,,,,,,0,,,,,,,,,,,,,
218,C,M,Adult,NO,,11,,Pine forest,09/05/2021,May,2021,16:19:50,Moving,633,75,140,108,118,,,,,,,,,0,,,,,,,,,,,,,
219,C,M,Adult,NO,12,15,,Degraded forest,09/05/2021,May,2021,16:43:57,Moving,1036,87,167,132,144,,,,,,,,,4,,,,,,,,,,,,,
220,C,F,Immature,NO,,8,,Degraded forest,09/05/2021,May,2021,17:12:58,Feeding,480,67,128,101,102,111,118,42,15,26,60,61,,0,first marginal star like,,,,,,,,,,,,
221,C,M,Immature,NO,,10,,Degraded forest,09/05/2021,May,2021,17:24:26,Moving,426,67,126,100,104,105,113,36,16,35,52,53,,0,,,,,,,,,,,,,
222,C,F,Immature,NO,,4,,Degraded forest,10/05/2021,May,2021,12:17:44,Basking,93.4,40,70,58,58,64,68,25,9,12,36,36,,0,,,,,,,,,,,,,
223,C,F,Immature,NO,,7,,Degraded forest,10/05/2021,May,2021,12:28:10,Feeding,269,57,106,85,84,93,99,34,14,22,51,51,,0,,,,,,,,,,,,,
224,C,M,Immature,NO,,9,,Degraded forest,10/05/2021,May,2021,12:37:57,Basking,603,72,142,107,113,,,,,,,,,0,,,,,,,,,,,,,
225,C,F,Adult,NO,11,12,,Degraded forest,10/05/2021,May,2021,12:43:49,Moving,1132,89,177,135,146,,,,,,,,,0,,,,,,,,,,,,,
226,C,M,Immature,NO,,8,,Degraded forest,10/05/2021,May,2021,12:48:47,Resting in shade,434,66,125,97,100,,,,,,,,,0,,,,,,,,,,,,,
227,C,F,Immature,NO,,7,,Degraded forest,10/05/2021,May,2021,12:53:18,Moving,333,59,110,91,92,,,,,,,,,0,3&4 vertebral asymmetrical,,,,,,,,,,,,
228,C,M,Adult,NO,10,11,,Degraded forest,10/05/2021,May,2021,13:01:12,Basking,647,75,143,114,121,,,,,,,,Carapace,4,,,,,,,,,,,,,
229,C,M,Adult,NO,10,12,,Degraded forest,10/05/2021,May,2021,13:07:58,Moving,591,74,145,111,121,,,,,,,,,0,,,,,,,,,,,,,
230,C,F,Adult,NO,,15-25,,Degraded forest,10/05/2021,May,2021,13:13:10,Moving,1107,84,180,133,145,,,,,,,,"Marginals, Carapace",6,nuchal not visible from above,,,,,,,,,,,,
231,C,M,Adult,NO,11,13,13,Degraded forest,10/05/2021,May,2021,13:17:16,Moving,589,77,149,120,125,,,,,,,,,0,1st vertebral starlike,,,,,,,,,,,,
231,R,M,Adult,NO,11,13,13,Degraded forest,30/08/2021,August,2021,09:41:22,Dead,,75,143,119,122,,,,,,,,,0,Dead,,,,,,,,,,,,
232,C,M,Adult,NO,,>25,,Degraded forest,10/05/2021,May,2021,13:21:16,Moving,919,80,168,128,143,,,,,,,,,0,"11L&R marginals damaged, supracaudal too. 1 2 & 3rd L costal look merged. ",,,,,,,,,,,,
233,C,M,Immature,NO,,7,,Degraded forest,10/05/2021,May,2021,15:43:29,Resting in shade,201.8,50,90,79,78,81,85,31,13,22,45,45,,0,2&3 vertebraln kinda asymmetric,,,,,,,,,,,,
234,C,F,Adult,NO,10,16,,Meadow,10/05/2021,May,2021,15:51:59,Resting in shade,1535,96,195,149,146,,,,,,,,,6,Missing nails on L front leg.,,,,,,,,,,,,
235,C,F,Adult,NO,10,13,,Degraded forest,10/05/2021,May,2021,17:11:43,Resting in shade,1265,93,178,137,135,,,,,,,,,0,12 L marginals. Had to be marked as 245.,,,,,,,,,,,,
236,C,M,Adult,NO,10,12,,Degraded forest+Pine forest,11/05/2021,May,2021,10:48:06,Moving,640,77,142,112,117,,,,,,,,,11,,,,,,,,,,,,,
237,C,M,Adult,NO,10,17,,Degraded forest+Pine forest,11/05/2021,May,2021,10:59:46,Moving,839,78,157,132,142,,,,,,,,,35,,,,,,,,,,,,,
238,C,M,Adult,NO,12,17,17,Degraded forest+Pine forest,11/05/2021,May,2021,11:11:33,Moving,973,84,167,130,137,,,,,,,,,13,2&3 L vertebral asymmetric,,,,,,,,,,,,
238,R,M,Adult,NO,12,17,17,Degraded forest,24/06/2021,June,2021,10:37:07,Feeding,1017,84,167,130,137,,,,,,,,,20,,,,,,,,,,,,,
239,C,M,Adult,NO,11,13,,Degraded forest,11/05/2021,May,2021,11:36:42,Moving,673,75,149,116,125,,,,,,,,,0,,,,,,,,,,,,,
240,C,M,Adult,NO,11,18,,Degraded forest,11/05/2021,May,2021,12:52:48,Resting in shade,1118,77,176,136,147,,,,,,,,,11,,,,,,,,,,,,,
241,C,F,Adult,NO,11,13,,Degraded forest,11/05/2021,May,2021,13:00:41,Resting in shade,746,79,147,113,114,,,,,,,,,3,6 vertebral. 6 L & R costal. 10R marginal.,,,,,,,,,,,,
242,C,F,Immature,NO,,10,,Degraded forest,11/05/2021,May,2021,13:10:28,Resting in shade,382,63,119,91,92,104,109,39,16,22,56,57,,7,how cuuute,,,,,,,,,,,,
243,C,M,Adult,NO,12,13,,Degraded forest,11/05/2021,May,2021,13:18:42,Resting in shade,703,75,153,133,131,,,,,,,,,2,,,,,,,,,,,,,
244,C,M,Adult,NO,12,15,,Degraded forest,11/05/2021,May,2021,16:22:57,Moving,687,81,150,120,127,,,,,,,,,3,,,,,,,,,,,,,
245,C,F,Adult,NO,13,16,,Degraded forest+Pine forest,11/05/2021,May,2021,16:32:45,Basking,1190,94,175,138,140,,,,,,,,,4,2-4 R marginals appear merged,,,,,,,,,,,,
246,C,F,Adult,NO,12,13,,Degraded forest+Pine forest,11/05/2021,May,2021,16:40:25,Resting in shade,1212,93,180,127,135,,,,,,,,,3,,,,,,,,,,,,,
247,C,M,Adult,NO,,"15-25, >25",,Degraded forest+Pine forest,11/05/2021,May,2021,16:48:53,Feeding,1120,92,177,137,149,,,,,,,,,4,1&2 L marginals missing pieces,,,,,,,,,,,,
248,C,M,Adult,NO,,10,,Degraded forest,11/05/2021,May,2021,16:59:35,Moving,672,80,140,116,118,,,,,,,,"Carapace, Plastron",2,,,,,,,,,,,,,
